Hospital_Name,City,State,Specialty,Expected_Budget_INR_Lakhs
Day High School,Pendurti,Andhra Pradesh,High school,199.63
Kings Aquarium,Pendurti,Andhra Pradesh,Pet store,238.31
Pendurti,Pendurti,Andhra Pradesh,Train station,228.5
Sd Classic Interiors | Interior Designing Company In Vizag,Pendurti,Andhra Pradesh,Interior designer,119.78
Star Multi Speciality Hospital,Pendurti,Andhra Pradesh,Dermatologist,18.77
Sri Lakshmi Residency,Pullambotlapalem,Andhra Pradesh,Apartment building,177.42
Rushi Square,Pendurti,Andhra Pradesh,Group home,249.65
Asian Paints Beautiful Homes Painting Service,Pendurti,Andhra Pradesh,Painter,77.27
Sbi Atm,Vepagunta,Andhra Pradesh,ATM,240.37
Khazana Gift And Toys,Pendurti,Andhra Pradesh,Gift shop,155.45
Aganampudi Government Hospital,Gajuwaka,Andhra Pradesh,Hospital,1543.08
Tata Cancer Hospital,Gajuwaka,Andhra Pradesh,Hospital,1447.6
Sri Satya Sai Hospital,Gajuwaka,Andhra Pradesh,Hospital,1717.25
Primary Health Centre,Gajuwaka,Andhra Pradesh,Hospital,594.65
Sunrise Hospitals,"Anakapalle, Gajuwaka",Andhra Pradesh,Children's hospital,2074.76
Homi Bhabha Cancer Hospital & Research Centre,Gajuwaka,Andhra Pradesh,Cancer treatment center,1644.2
Government Veterinary Hospital,Gajuwaka,Andhra Pradesh,Hospital,940.16
Mukhyamantri E-Eye Kendram-Aganampudi,Gajuwaka,Andhra Pradesh,Hospital,565.71
Sunrise Children Clinics,Gajuwaka,Andhra Pradesh,Pediatric clinic,83.86
Usha Prime Multispeciality Hospital,Anakapalli,Andhra Pradesh,Hospital,562.86
Sri Sagar Health Care,Anakapalli,Andhra Pradesh,Hospital,1900.06
Tirumala Jyoti Hospital,Anakapalli,Andhra Pradesh,Hospital,1273.08
D2 Health Care,Gajuwaka,Andhra Pradesh,Medical Center,495.11
Annapurna Hospital,Anakapalli,Andhra Pradesh,Hospital,1314.55
Sree Surya Hospital,Anakapalli,Andhra Pradesh,Hospital,879.97
Dr. Venkatesh K,nan,Gajuwaka,Oncologist,235.86
Ntr Government Hospital,nan,Anakapalli,Government hospital,529.32
Andhra Hospitals - Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1035.46
Kims Cuddles,"plot no:1, gurudwara rd",Visakhapatnam,Maternity hospital,1258.93
A N Beach Hospital - Multi Speciality Hospital In Vizag,Visakhapatnam,Andhra Pradesh,General hospital,2704.76
Sri Surya Hospital,Visakhapatnam,Andhra Pradesh,General hospital,1530.23
Govt Ent Hospital,Visakhapatnam,Andhra Pradesh,Hospital,686.71
Lancet Laparoscopy Center,Visakhapatnam,Andhra Pradesh,Hospital,1052.03
Giggles By Omni Hospitals | Best Woman And Child Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Women's health clinic,270.16
Lakshmi Gayatri Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,156.36
Ikya Hospital| Best Super Speciality Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1841.96
Sri Venkateswara Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1079.97
Vivekananda Hospital,Visakhapatnam,Andhra Pradesh,Private hospital,4894.89
Sri Krishna Hospital And Mrudula Kidney Centre,Visakhapatnam,Andhra Pradesh,Hospital,1244.3
Government Hospital For Mental Care,"p8hm+c8h, near 3 town police station, chinna waltair",Visakhapatnam,Hospital,1246.29
Simhadri Hospitals,Visakhapatnam,Andhra Pradesh,General hospital,2833.48
Government Regional Eye Hospital,Visakhapatnam,Andhra Pradesh,Government hospital,923.13
Visakha Eye Hospital (Pedda Waltair Branch),Visakhapatnam,Andhra Pradesh,Hospital,1701.72
Port Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1590.62
Usha Hospital,Visakhapatnam,Andhra Pradesh,Private hospital,1315.71
Dr.Ramarao Speciality Hospital,12.0,p7mg+5v5,+91 89127 83334,192.66
Dr. Kasi Kids Super Speciality Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1733.51
Arogya Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1318.21
Rjr Herbal Hospital - Visakhapatnam,Visakhapatnam,Andhra Pradesh,Ayurvedic clinic,35.88
Kalavathy Maternity Hospital,Visakhapatnam,Andhra Pradesh,Hospital,620.1
Inodaya Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1491.38
Ramkumar Hospital,Visakhapatnam,Andhra Pradesh,Hospital,959.74
Dr Kamalamma Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1403.93
Vasan Eye Care Hospital - (Ram Nagar,"no 10/50/81, waltair main rd, opposite court circle",Visakhapatnam,+91 1800 571 2222,145.05
Anshu Hospital,"Gajuwaka, Visakhapatnam",Andhra Pradesh,Hospital,1534.65
Ramsaranya Hospital (Child Care To Speciailty Care),Visakhapatnam,Andhra Pradesh,Hospital,1027.32
Akshaya Super Speciality Eye Hospital | Best Eye Hospital Vizag | Aiims Trained Eye Specialist In Vizag,Visakhapatnam,Andhra Pradesh,Eye care center,37.2
Sunita Nursing Home,Visakhapatnam,Andhra Pradesh,Hospital,1805.06
Sri Visista Super Speciality Ayurveda Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1028.84
Mr Hospitals,Visakhapatnam,Andhra Pradesh,Hospital,1997.23
Visakha Childrens Hospital,Visakhapatnam,Andhra Pradesh,Children's hospital,1121.66
Sri Sai Satya Hospital - Visakapatnam- Andhra Pradesh,"chodimella, Visakhapatnam",Andhra Pradesh,Hospital,1970.04
Homi Baba Cancer Hospital & Research Centre,Visakhapatnam,Andhra Pradesh,Hospital,1921.86
Akshaya Hospitals - Railway New Colony,"43-9-201, slv arcade, opp. sreekanya building",Visakhapatnam,+91 891 616 5656,50.26
Visakha Children Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1456.27
Smartvision Eye Hospitals,Visakhapatnam,Andhra Pradesh,Eye care center,91.76
Nandana Mind Brain Care - Dr. K. Bala Ravikumar | Psychiatric Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Psychiatric hospital,1020.99
Super Sight Eye Hospital,Visakhapatnam,Andhra Pradesh,Eye care center,145.5
Visakha E.N.T. Hospital,"Sc, Visakhapatnam",Andhra Pradesh,Private hospital,4811.16
Best Multispeciality Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,714.17
Sahaya Hospital,Visakhapatnam,Andhra Pradesh,Medical clinic,133.29
Kutikuppala Hospitals,Visakhapatnam,Andhra Pradesh,Hospital,1671.97
Anupama Surgical & Childrens Hospital,Visakhapatnam,Andhra Pradesh,Children's hospital,666.12
Veterinary Government Hospital Beside Judge Court,Visakhapatnam,Andhra Pradesh,Animal hospital,48.15
Visakha Eye Hospital Sai Canteen,Visakhapatnam,Andhra Pradesh,Cafeteria,240.2
Homeocare International Visakhapatnam | Best Homeopathy Clinic In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1049.49
Chroma Eye Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1074.28
Dr. R. Vidya Rama,Visakhapatnam,Andhra Pradesh,Obstetrician-gynecologist,93.74
Vizag Ivf Center,Visakhapatnam,Andhra Pradesh,Fertility clinic,273.63
Dr. Naidu Ch N - Best Urologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Urologist,130.25
Best Multispeciality Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1923.24
Dr. Attada Prudhvi Raj | Top Cardiologist In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,93.24
Vets4Pets Hospitals,Visakhapatnam,Andhra Pradesh,Hospital,1644.63
Dr. Ravi Teja Boddapalli,131.0,"doctor's care medical centre, collector office, junction, beside chaitanya medical centre, next to andhra hospitals",https://instagram.com/drteja_orthopaedics,184.96
Dr Suman Grandhi,Visakhapatnam,Andhra Pradesh,Urologist,107.07
Best Hospital In Visakhapatnam - Piles | Circumcision | Varicose Veins | Fissure | Fistula | Hernia,Visakhapatnam,Andhra Pradesh,Hospital,1097.05
Oasis Fertility Centre Kailasametta - Best Fertility & Ivf Centre In Vizag,Visakhapatnam,Andhra Pradesh,Fertility clinic,287.86
Padmasri Ivf Centre,Visakhapatnam,Andhra Pradesh,Fertility clinic,159.88
Vjs Health Care: Multispeciality Hospital Vizag | Uterine Fibroid | Hysterectomy | Myomectomy | Tubal Recanalization,Visakhapatnam,Andhra Pradesh,Hospital,670.17
Dr. Kallepalli Padmavathi,Visakhapatnam,Andhra Pradesh,Doctor,76.21
Lata Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1248.57
Dr. Ravi Shankar Kinjarapu | Best Gastroenterologist In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Lido,134.49
Vijaya Medical Centre,Visakhapatnam,Andhra Pradesh,Diagnostic center,186.03
Star Ayurveda | Best Ayurvedic Hospital | Vizag,Visakhapatnam,Andhra Pradesh,Hospital,892.67
Dr G. Sivaram (Neuro) [Md,aayushman hospital,visakhapatnam,Visakhapatnam,100.28
Vidhya Rama Hospital,Visakhapatnam,Andhra Pradesh,Gynecologist,78.02
Abhinandana Homoeopathic Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1994.55
? Vj'S Transgender Clinic | Sex Change Surgery In Vizag,"4th floor, kgh down rd",Visakhapatnam,+91 98497 97776,107.11
Cataract Surgery Specialists At Maxivision Eye Hospitals In - Visakhapatnam,Visakhapatnam,Andhra Pradesh,Eye care center,185.8
Vizag Ivf Center,Visakhapatnam,Andhra Pradesh,Fertility clinic,237.18
Glaucoma Surgery Specialists At Maxivision Eye Hospitals In - Visakhapatnam,Visakhapatnam,Andhra Pradesh,Eye care center,50.85
V Dental Hospitals,"sankara matam rd, opp. bakers den",Visakhapatnam,+91 81796 22722,260.26
Dr. Uday Dipakrao Gajare - Nephrologist Doctor At Ainu Hospitals,7.0,"47-11-12, 1st ln, near diamond park road",https://www.ainuindia.org/doctors/visakhapatnam/nephrologist/dr-uday-dipakrao-gajare/,152.05
Dr. Shashwat Mohanty - Best Pediatrician In Kailash Metta | Rainbow Children'S Hospital,Visakhapatnam,Andhra Pradesh,Pediatrician,109.87
???? ??.?? ?????????????????? ???????? - Best Vascular Surgeon In Vizag - Top Vascular Surgeon In Vizag,Visakhapatnam,Andhra Pradesh,Vascular surgeon,150.18
Dr. Niharika Allu - Best Gynecologist In Kailash Metta | Birthright By Rainbow Hospitals,Visakhapatnam,Andhra Pradesh,Gynecologist,31.41
V Dental Hospitals,Gajuwaka,Andhra Pradesh,Dental clinic,108.65
Upiri Angio Care - Vishakapatnam / Vizag Eecp Treatment Center,Visakhapatnam,Andhra Pradesh,Wellness center,258.29
Dr. C. V. Rao | Top Cardiologist Specialist In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,84.33
Dr. G Kishore Babu | Top Neurologist Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Neurologist,78.85
Arogya Hospitals,"Visakhapatnam, Chinnamusidivada",Andhra Pradesh,Hospital,597.41
Sun Care Hospitals - Skin & Laser Clinic,Visakhapatnam,Andhra Pradesh,Skin care clinic,47.95
Heptacare Health,Visakhapatnam,Andhra Pradesh,Surgical center,270.66
Dr. Sesha Mohan Debta - Best General Practitioner In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,General practitioner,69.6
Vins - Visakha Institute Of Neuroscience - Multi Specialty Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1567.71
Kameswari Healthcare - Orthopaedic Surgical Distributor In Vizag,Visakhapatnam,Andhra Pradesh,Medical equipment supplier,280.38
Dr.Siva Lakshmi.P. S.V Mahalakshmi Hospital,Gajuwaka,Andhra Pradesh,Obstetrician-gynecologist,102.9
Dr. A V Venugopal | Top Nephrologist Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Nephrologist,164.93
Dr. K.V. Sreedhar,Visakhapatnam,Andhra Pradesh,Otolaryngologist,167.36
Dr Jaideep Kumar Trivedi - Best Vascular Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,62.77
Dr. N.V.S.Mohan | Top Neurosurgeon Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Neurosurgeon,84.26
Dr.K Subbaraju Clinic,Visakhapatnam,Andhra Pradesh,Obstetrician-gynecologist,38.05
Dr. G.S.R.Murthy | Best Cardiologist Specialist In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,164.36
Citi Eye Hospital(Eye Clinic),Visakhapatnam,Andhra Pradesh,Ophthalmologist,23.42
4Ds Dental & Poly Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,92.02
Smile Vizag,Visakhapatnam,Andhra Pradesh,Dentist,35.82
Dr. U Pruthvi Raju - Best Ent Specialist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Otolaryngologist,246.99
Dr. Sunil Kumar Gollapalli - Best Doctor In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Doctor,59.65
Dr Baruah D K - Best Cardiologist In Visakhapatnam| Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Cardiologist,134.03
Apollo Sugar Clinics & Hospital,Visakhapatnam,Andhra Pradesh,Diabetologist,53.28
Dr Ravindravarma,Visakhapatnam,Andhra Pradesh,Consultant,113.51
Dr. Ananda Kumar Mahapatra - Best Neurosurgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Neurosurgeon,299.89
Dr. Mgv Aditya | Top Neurologist Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Neurologist,136.42
Mohan Medical Shop,Visakhapatnam,Andhra Pradesh,Medical supply store,171.94
Hospital,Visakhapatnam,Andhra Pradesh,Place of worship,237.67
Dr. Namratha,Visakhapatnam,Andhra Pradesh,Fertility clinic,343.47
Dr. S Anil Kumar Patro - Best Nephrologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Nephrologist,42.54
Dr. Annapurna Rao Bhagavatula- Ent In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Otolaryngologist,292.54
Nihira'S Dental Care | Dental Hospital Vizag | | Best Dental Clinic In Mvp,Visakhapatnam,Andhra Pradesh,Dental clinic,103.5
Dr.B. Leela Prasad,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,128.99
Dr. Afroz Farooqi - Best Vascular Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,213.63
Dr. Amit Saple - Urologist Doctor At Ainu Hospital,21.0,"ainu hospital, 47-11-12, 1st ln, near diamond park road",https://www.ainuindia.org/doctors/visakhapatnam/urologist/dr-amit/,123.02
Dr. Prabhakar Rao | Leading General Physician In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Internal medicine ward,267.05
Dr Naveen Palla- Best Orthopedician In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,201.66
The Vizag Vet Animal Hospital &Pet Spa. Gajuwaka,Gajuwaka,Andhra Pradesh,Animal hospital,202.74
Dr Bala Raju Tadikonda Chest (Lung) Physician (Asthma Allergy,45.0,"14-38-5, the chest clinic, gayatri nursing home, opp. st. joseph hospital, behind krishna mandir",+91 91827 85752,79.13
Medi Assist Insurance Tpa Private Limited,Visakhapatnam,Andhra Pradesh,Insurance agency,290.89
Dr. Arisetty Namratha - Best Obstetrician-Gynecologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Obstetrician-gynecologist,76.24
Dr. Pyla Sai Sekhar | Top General Physician In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Internal medicine ward,275.89
Dr. Tankala Rajkamal | Best Dermatology Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Dermatologist,19.71
Dr. Satheesh Babu B - Best Gastroenterologist In Visakhapatnam| Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Gastrointestinal surgeon,63.52
Medicover Hospitals - Best Hospital In Vizag,,,Hospital,729.52
Laser Dental Hospital,Visakhapatnam,Andhra Pradesh,Dental clinic,41.41
Doctor'S Pet Clinic - Dr. K. Basava Reddy | Veterinary Hospital In Vizag,Visakhapatnam,Andhra Pradesh,Animal hospital,117.12
Dr. K.S. Praveen Kumar | Best Orthopedic Doctor In Visakhapatnam | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,186.05
Central Pharmacy - Best Pharmacy In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Drug store,123.43
Dr. Siva G Prasad - Best Orthopedician In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,237.0
Sujatha Dental Hospital,Visakhapatnam,Andhra Pradesh,Dental clinic,136.34
Dr. Murali Mohan Bheri | Top Urologist Doctor In Vizag | Care Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Urologist,156.12
Dr Sandeep Skin Hair & Laser Clinic,Gajuwaka,Andhra Pradesh,Dermatologist,36.3
Dr. Sunita G - Best Plastic Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Plastic surgeon,201.47
Dr. Cha Viswa Latha - Best Nutritionist In Visakhapatanam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Nutritionist,178.73
Apollo Pharmacy Apollo Hospital Heart & Kidney Centre Op,Visakhapatnam,Andhra Pradesh,Pharmacy,18.76
Vet N Pet Clinic | Best Pet Clinic In Vizag | Veterinary Hospitals In Vizag,Visakhapatnam,Andhra Pradesh,Veterinarian,111.76
Dr Sunita Aesthetics - Cosmetic & Plastic Surgery,Visakhapatnam,Andhra Pradesh,Plastic surgeon,174.04
Subhagruha Vizag - Best Real Estate Company In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Real estate agent,165.69
Mpm Hospital,"m7q6+64q, gajuwaka - scindia rd",Visakhapatnam,Hospital,752.95
American Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1912.41
Hospital,Visakhapatnam,Andhra Pradesh,Hospital,731.29
Ear Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1488.1
Homeopathic Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1580.95
Sri Polamamba Temple,Bheemunipatnam,Andhra Pradesh,Hindu temple,193.39
Old Tb Hospital Junction,Visakhapatnam,Andhra Pradesh,Hospital,1763.8
Eye Hospital Kumar Reddy Locatoin,Visakhapatnam,Andhra Pradesh,Hospital,1345.43
Asha Eye Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1737.85
A Plus Hospitals,Gajuwaka,Andhra Pradesh,General hospital,862.42
Madhavbaug Visakhapatnam (Vizag) | Cardiac Care Ayurvedic Hospital & Panchakarma Centre,Nadupuru,Andhra Pradesh,Heart hospital,1704.58
Visakha Steel General Hospital,"Visakhapatnam(Vizag), Pedamadaka",Andhra Pradesh,Hospital,1462.18
Visakha Hospital,Gajuwaka,Andhra Pradesh,Hospital,1365.16
Nest Children'S Clinic,Gajuwaka,Andhra Pradesh,Hospital,1476.69
Himaneesh Medical Centre(Diagnostic Centre)Nabl,Anakapalli,Andhra Pradesh,Medical Center,395.13
Mother And Child Hospital,Anakapalli,Andhra Pradesh,Hospital,1124.88
London Children'S Hospital,Anakapalli,Andhra Pradesh,Children's hospital,1814.08
Adarsha Medical Centre,Anakapalli,Andhra Pradesh,Medical Center,274.12
Dinesh Orthopaedics Hospital,Anakapalli,Andhra Pradesh,Hospital,1440.75
Manasa Multispeciality Hospital In Anakapalle,"pudimadaka rd, opposite rtc complex",Anakapalli,+91 99488 88880,108.21
Mn Aditya Hospitals,Anakapalli,Andhra Pradesh,Hospital,1934.98
Sri Venkateswara Clinic,Gajuwaka,Andhra Pradesh,Hospital,1224.42
Dr.Prem Kumar,"Gajuwaka, Visakhapatnam",Andhra Pradesh,Medical Center,412.11
Vijaya Medical Centre,"Gajuwaka, Visakhapatnam",Andhra Pradesh,Medical clinic,146.45
Simhagiri Hospital,Pendurti,Andhra Pradesh,General hospital,1454.35
Sri Surya Chandra Hospital,Pendurti,Andhra Pradesh,Hospital,609.46
Visakha Gynaec & Obst Hospital (Akhileshwari Hospital) Pendurthi. Since 1997.,"Pendurti, Visakhapatnam",Andhra Pradesh,Hospital,589.87
Srinivasa Nursing Home,Pendurti,Andhra Pradesh,Hospital,1159.41
Pendurthi,Chinnamusidivada,Andhra Pradesh,Hospital,1226.38
Sahasra Multispecialty Hospital,Pendurti,Andhra Pradesh,Hospital,806.03
Anusri Dental Clinic,Pendurti,Andhra Pradesh,Dental clinic,98.87
Visakhapatnam Steel Plant,Gajuwaka,Andhra Pradesh,Hospital,968.87
Doctors Diagnostic Centre,Gajuwaka,Andhra Pradesh,Diagnostic center,226.77
Karthikeya Hospitals,"Jaggampeta, Gajuwaka",Andhra Pradesh,Hospital,1601.3
V Square Mall,Gajuwaka,Andhra Pradesh,Shopping mall,262.41
Nithya Multispeciality Dental Clinic,Gajuwaka,Andhra Pradesh,Dental clinic,146.8
Vizag Ivf - Gajuwaka,Gajuwaka,Andhra Pradesh,Fertility clinic,121.85
Dr.Akkayya'S Star Multi Speciality Clinic(Paediatrician,derma,skin,neurologist),130.05
Mahalakshmi Hospital,Gajuwaka,Andhra Pradesh,Obstetrician-gynecologist,93.01
V2 | Value & Variety - Chaitanya Nagar Visakhapatnam Andhra Pradesh,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Clothing store,116.16
Metropolis Labs | Blood Test & Diagnostic Centre In Visakhapatnam,Pedamadaka,Andhra Pradesh,Diagnostic center,161.28
Gajuwaka Junction,Gajuwaka,Andhra Pradesh,Garden,102.22
Aganampudi Walking Track,Pedamadaka,Andhra Pradesh,Playground,96.94
Baby Crutch,"m4q7+vqw, near tata cancer hospital",Gajuwaka,Child care agency,56.14
Satya Durga Medicals Homoeopathy And Ayurvedic Medical Shop,Gajuwaka,Andhra Pradesh,Drug store,108.36
Madhu Skin Clinic,Gajuwaka,Andhra Pradesh,Dermatologist,47.65
Dr. Alpa Rabadia - Best Phaco Surgeon | Maxivison Eye Hospital - Gajuwak,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Ophthalmologist,100.0
Metropolis Labs | Blood Test & Diagnostic Centre In Gajuwaka,"muddu krishna hospital cplx, no 10/2/9, near mohan sweets","Visakhapatnam, Gajuwaka",+91 40 4197 5609,97.03
Dr.Saranya Guru,Gajuwaka,Andhra Pradesh,Obstetrician-gynecologist,132.49
Government Hospital,Devada,Andhra Pradesh,Hospital,739.55
Pinnacle Hospitals,"plot no. 17a, health city",Visakhapatnam,+91 89788 89738,118.41
Chc Pendurthi,Chinnamusidivada,Andhra Pradesh,Hospital,1366.53
Star Clinic & Diagnostic Centre,Vepagunta,Andhra Pradesh,Medical diagnostic imaging center,114.43
Kshemam Clinic,Chinnamusidivada,Andhra Pradesh,Hospital,1644.68
Sai Gayatri Scan Center,Pendurti,Andhra Pradesh,Radiologist,139.62
Sri Gayatri Clinic,Chinnamusidivada,Andhra Pradesh,Medical clinic,117.5
Vijaya Diagnostic Centre Sujathanagar - Pathology & Radiology Lab | Full Body Checkup,"Visakhapatnam, Chinnamusidivada",Andhra Pradesh,Diagnostic center,169.68
Shri Sanjeevani Poly Clinic And Medical Stores A Quality Chemists And Druggists,Chinnamusidivada,Andhra Pradesh,Medical Center,188.84
Satya Clinic Dr. Ajay Mahaadev Mbbs,1.0,"dr.no :- 1-45, pan nilayam, sujathanagaram, puroshathapuram, main rd",+91 63044 58921,36.26
Metropolis Labs | Blood Test & Diagnostic Centre In Gajuwaka,muddu krishna hospital cplx no 10/2/9,"Visakhapatnam, Gajuwaka",+91 40 4197 5609,285.21
Vizag-Walter,Gajuwaka,Andhra Pradesh,Clothing store,166.47
Advanced Skin Lasers And Hair Clinic (Aclc),Gajuwaka,Andhra Pradesh,Skin care clinic,77.67
New Smile Multi Speciality Dental Hospital & Implant Center,Gajuwaka,Andhra Pradesh,Hospital,822.72
Hs Clinics,Gajuwaka,Andhra Pradesh,Medical clinic,89.99
Smart Dental Care,Gajuwaka,Andhra Pradesh,Dental clinic,26.57
Imeds Global Private Limited,Nadupuru,Andhra Pradesh,Medical equipment manufacturer,163.62
Srm Transports India Private Limited(Revathi Travels),Visakhapatnam,Andhra Pradesh,Transportation service,268.23
Indoor Stadium,Pedamadaka,Andhra Pradesh,Indoor playground,206.65
Ganni Multispeciality Dental Clinic And Implant Centre (Knr Dental),Gajuwaka,Andhra Pradesh,Dental clinic,81.18
Santoshi Nilayam - Old Gajuwaka-Vskp,Gajuwaka,Andhra Pradesh,Housing complex,174.91
Dhanvantary Medicals,Gajuwaka,Andhra Pradesh,Pharmacy,69.3
Primeheal Hospital,Nadupuru,Andhra Pradesh,Medical group,146.35
Uphc-Nammidoddi Hospital,Devada,Andhra Pradesh,Hospital,1823.68
Devada Phc,Devada,Andhra Pradesh,Hospital,1591.26
Occupational Health Centre,Devada,Andhra Pradesh,Hospital,1645.79
Hr,Chinnamusidivada,Andhra Pradesh,Medical Center,214.67
Sri Krishna Children'S Clinic,Chinnamusidivada,Andhra Pradesh,Medical clinic,98.1
Svl Medicales General Stores,Chinnamusidivada,Andhra Pradesh,Medical Center,306.63
Sri Tirumala Hospital,Chinnamusidivada,Andhra Pradesh,Hospital,791.98
Nemanipharma,Pendurti,Andhra Pradesh,Medical Center,298.95
Priya'S Children Clinic,Chinnamusidivada,Andhra Pradesh,Doctor,16.62
Master Ek Homeopathy Clinic,Chinnamusidivada,Andhra Pradesh,Free clinic,166.15
Lakshmi Clinic,Pendurti,Andhra Pradesh,Medical clinic,159.95
Penudurhi Junction,Pendurti,Andhra Pradesh,Medical Center,175.87
Dr. P. Krishna Prasad Eye Hospital,Visakhapatnam,Andhra Pradesh,Eye care center,198.15
Employees' State Insurance Corporation Branch Office Gajuwaka,Gajuwaka,Andhra Pradesh,Government office,213.71
K.R Subham Dental & Implant Centre,Gajuwaka,Andhra Pradesh,Dental clinic,35.45
Apollo Pharmacy Aganampudi,Gajuwaka,Andhra Pradesh,Pharmacy,78.26
Sri Vaikuntha Nilayam,"Lankelapalem, Mantripalem Colony",Andhra Pradesh,Homestay,136.35
Annapurna Mini Transport Services & Packers And Movers,Gajuwaka,Andhra Pradesh,Transportation service,244.62
S.S Nilayam - 2,"Lankelapalem, Visakhapatnam",Andhra Pradesh,Homestay,121.55
Sarigama Bar And Restaurant,Gajuwaka,Andhra Pradesh,Bar,283.52
Aathidyam The Taste Of Rayalaseema,Gajuwaka,Andhra Pradesh,Chinese restaurant,233.84
Soft Tech Solutions Vizag,Gajuwaka,Andhra Pradesh,Software training institute,83.75
Bank Of Maharashtra - Gajuwaka,Gajuwaka,Andhra Pradesh,Bank,167.46
Sector 2 Shopping Complex,"Visakhapatnam(Vizag), Gajuwaka",Andhra Pradesh,Shopping mall,165.02
Apollo Dental Clinic, crowns,5.0,Andhra Pradesh,42.23
Sri Kala Furniture Park,Gajuwaka,Andhra Pradesh,Furniture store,67.0
Nirmala Dance & Music Academy,Gajuwaka,Andhra Pradesh,Dance school,119.92
Jindal Saw / Stainless Steel,Gajuwaka,Andhra Pradesh,Stainless steel plant,157.91
Sradha Multi Speciality Dental Hospital & Implant Centre,Gajuwaka,Andhra Pradesh,Dental clinic,79.41
Sri Tulasi Clinic,Gajuwaka,Andhra Pradesh,Doctor,64.56
Sri Venkateswara Hospital,Anakapalli,Andhra Pradesh,Hospital,1273.26
