title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,url,categoryName,openingTime,closingTime,timingDetails,darshanFee,specialDarshanFee,entryDetails,expectedBudget,mainGod,speciality,dressCode,bestTimeToVisit,prasadamAvailable,festivalsCelebrated,parkingAvailability,photographyAllowed,crowdLevel,nearbyAttractions,googleMapsUrl,verificationStatus
Sri Gokula Krishna Temple,4.6,44.0,"Shiva Sai Residency, 44-36-10/B, Akkayyapalem 80 Feet Road, Nandagiri Nagar, Akkayyapalem",Visakhapatnam,Andhra Pradesh,IN,,+91 91821 33518,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Gokula%20Krishna%20Temple&query_place_id=ChIJx5zSaChDOToRw_6GLtfcLvw,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Krishna and Radha,Serene Krishna temple with daily bhajans and kirtans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Janmashtami, Ekadasi, early morning",Available,"Janmashtami, Radhashtami, Holi, Ekadasi",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"MVP Colony, Siripuram, RK Beach (5 km)",https://www.google.com/maps/search/?api=1&query=Sri%20Gokula%20Krishna%20Temple%20Visakhapatnam,Timing needs local confirmation
Vinayaka Temple,4.6,16.0,P7MH+758,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Vinayaka%20Temple&query_place_id=ChIJBRP9zs5COToRJAE66UfevcM,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Ganesha (Vinayaka),Popular Ganesh temple; especially crowded on Vinayaka Chaturthi,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Vinayaka Chaturthi, early morning",Available,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Vinayaka%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Venkateshwara Swamy Temple and Annapoorna visweswara alayam,4.2,41.0,P7MJ+M5X,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Venkateshwara%20Swamy%20Temple%20and%20Annapoorna%20visweswara%20alayam&query_place_id=ChIJC2gZpc9COToRbaN10gWMXBg,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Venkateshwara%20Swamy%20Temple%20and%20Annapoorna%20visweswara%20alayam%20Visakhapatnam,Timing needs local confirmation
Sri Sai Baba Temple,4.6,206.0,"Railway, Exhibition Ground Road",Visakhapatnam,Andhra Pradesh,IN,,+91 80197 04567,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Baba%20Temple&query_place_id=ChIJizBRHdlCOToRHje7hImcbP0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Shirdi Sai Baba,Devotional Sai Baba temple with regular bhajans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Thursdays, Guru Pournami, early morning",Available – udi (holy ash) prasadam; sweet prasadam,"Guru Pournami, Datta Jayanti, Ram Navami, Shirdi Urs",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Baba%20Temple%20Visakhapatnam,Estimated local temple details
Shivalayam,4.3,71.0,P7JH+4VJ,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shivalayam&query_place_id=ChIJZWhimMVCOToRVTKhqJYj4kU,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Shivalayam%20Visakhapatnam,Timing needs local confirmation
Sri Lakshmi Ganesh Temple,4.5,62.0,"No. 54-36-15/1, Railway New Colony Rd, Nearby Main Road",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Lakshmi%20Ganesh%20Temple&query_place_id=ChIJTxKl8thCOToR8qFg4XVoe04,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Ganesha (Vinayaka),Popular Ganesh temple; especially crowded on Vinayaka Chaturthi,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Vinayaka Chaturthi, early morning",Available,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Lakshmi%20Ganesh%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Sri Sri Kanakadurga Ammavari Temple,4.8,24.0,"P7MG+RVR, Kotha Vada St, near Sunrise Club, Reddy",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Kanakadurga%20Ammavari%20Temple&query_place_id=ChIJMWpuI8lCOToRcFPZWGZs780,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Durga,Powerful Durga temple especially active during Navaratri,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Fridays, Navaratri, early morning",Available,"Navaratri, Dasara, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Kanakadurga%20Ammavari%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Durga Ganapathi Temple,4.6,448.0,"GVK Plaza, Main Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,Place of worship,,https://www.google.com/maps/search/?api=1&query=Sri%20Durga%20Ganapathi%20Temple&query_place_id=ChIJlQmmfjpDOToRnPuUHNjRyQA,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Ganesha (Vinayaka),Popular Ganesh temple; especially crowded on Vinayaka Chaturthi,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Vinayaka Chaturthi, early morning",Available,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Durga%20Ganapathi%20Temple%20Visakhapatnam,Estimated local temple details
Uma Rama Lingeswara SwamyTemple,4.8,12.0,"east end and oec, beside diesel loco shed",Visakhapatnam,Andhra Pradesh,IN,,+91 99597 99038,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Uma%20Rama%20Lingeswara%20SwamyTemple&query_place_id=ChIJDY21HrpCOToRB3QCiWh73JQ,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Uma%20Rama%20Lingeswara%20SwamyTemple%20Visakhapatnam,Timing needs local confirmation
Siridi Sai Baba Temple,4.5,64.0,P7JW+732,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Siridi%20Sai%20Baba%20Temple&query_place_id=ChIJizBRHdlCOToRUMDN4j1Bbqw,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Shirdi Sai Baba,Devotional Sai Baba temple with regular bhajans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Thursdays, Guru Pournami, early morning",Available – udi (holy ash) prasadam; sweet prasadam,"Guru Pournami, Datta Jayanti, Ram Navami, Shirdi Urs",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Siridi%20Sai%20Baba%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Vidya Vijaya Vinayagar Temple,4.8,13.0,"530016, 43-9-189, Railway New Colony Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Vidya%20Vijaya%20Vinayagar%20Temple&query_place_id=ChIJh-L70CZDOToR8TNeerMAptw,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Vidya%20Vijaya%20Vinayagar%20Temple%20Visakhapatnam,Timing needs local confirmation
21 Feet Sai Baba Temple,4.5,18.0,,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=21%20Feet%20Sai%20Baba%20Temple&query_place_id=ChIJTRCoJ_RDOToRP7t0sBJkQmI,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Shirdi Sai Baba,Devotional Sai Baba temple with regular bhajans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Thursdays, Guru Pournami, early morning",Available – udi (holy ash) prasadam; sweet prasadam,"Guru Pournami, Datta Jayanti, Ram Navami, Shirdi Urs",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=21%20Feet%20Sai%20Baba%20Temple%20Visakhapatnam,Timing needs local confirmation
Lakshmi Prasanna Venkateshwaraswamy Temple,4.8,9.0,P7JX+W32,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Lakshmi%20Prasanna%20Venkateshwaraswamy%20Temple&query_place_id=ChIJ_9CzpihDOToRQ_8tknNQEr8,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Auspicious Lakshmi temple for prosperity and wealth blessings,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Lakshmi%20Prasanna%20Venkateshwaraswamy%20Temple%20Visakhapatnam,Timing needs local confirmation
Shivalayam and Kumara Swamy Temple,4.3,4.0,"36-46-68/2, Bowdra Ring Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shivalayam%20and%20Kumara%20Swamy%20Temple&query_place_id=ChIJff8rTc9COToRAGT9RQrjMzc,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Shivalayam%20and%20Kumara%20Swamy%20Temple%20Visakhapatnam,Timing needs local confirmation
"SIVASAI Temple, Ramchandra Nagar,Akkayyapalem",4.3,23.0,"45-2, 60/38, Abid Nagar Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=SIVASAI%20Temple%2C%20Ramchandra%20Nagar%2CAkkayyapalem&query_place_id=ChIJwYxqnylDOToRIYiJxW0Ept4,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available – udi (holy ash) prasadam; sweet prasadam,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"MVP Colony, Siripuram, RK Beach (5 km)",https://www.google.com/maps/search/?api=1&query=SIVASAI%20Temple%2C%20Ramchandra%20Nagar%2CAkkayyapalem%20Visakhapatnam,Timing needs local confirmation
Sri uma ramalingeshwara alayam,4.1,11.0,"P7PQ+CWR, 80 Feet Road, National Highway 5",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20uma%20ramalingeshwara%20alayam&query_place_id=ChIJLaBz7NZCOToRU3YhkB5fAR0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20uma%20ramalingeshwara%20alayam%20Visakhapatnam,Timing needs local confirmation
Sri Veera bhadra Swamy temple,4.7,9.0,"35-39-66/1, near Ambedkar state, Dayyanandanagar",Visakhapatnam,Andhra Pradesh,IN,,+91 99494 77830,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Veera%20bhadra%20Swamy%20temple&query_place_id=ChIJAU0OSABdOToRSqsyUntHd50,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Veera%20bhadra%20Swamy%20temple%20Visakhapatnam,Timing needs local confirmation
Sri Hanuman Temple,4.4,11.0,"P7PQ+7MQ, 80 Feet Road, National Highway 5",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Hanuman%20Temple&query_place_id=ChIJB_Amw9ZCOToRgWY2po4dJng,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Hanuman (Anjaneya Swamy),Popular Hanuman temple; heavy footfall on Tuesdays,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Saturdays, Hanuman Jayanti, early morning",Available,"Hanuman Jayanti, Rama Navami, Tuesdays",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Hanuman%20Temple%20Visakhapatnam,Timing needs local confirmation
Nukambika temple,4.9,9.0,46-37-30/A,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Nukambika%20temple&query_place_id=ChIJ02wzVkBDOToR67cJ1eSYFZc,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Nukambika%20temple%20Visakhapatnam,Timing needs local confirmation
Sampath Venkateshwara Devalayam,5.0,2.0,"P7JH+CPG, Nethaji Brg",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sampath%20Venkateshwara%20Devalayam&query_place_id=ChIJGUOAVwBDOToRcEDS6tQcWCc,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sampath%20Venkateshwara%20Devalayam%20Visakhapatnam,Timing needs local confirmation
siva sai rama temple,5.0,3.0,"11-08-3/3, Akkayyapalem 80 Feet Rd Medical Star, Akkayyapalem 80 Feet Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=siva%20sai%20rama%20temple&query_place_id=ChIJYxKOu9dCOToRxxAVv93arUA,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available – udi (holy ash) prasadam; sweet prasadam,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"MVP Colony, Siripuram, RK Beach (5 km)",https://www.google.com/maps/search/?api=1&query=siva%20sai%20rama%20temple%20Visakhapatnam,Timing needs local confirmation
Shri Kanchi Kaamakoti Shankara Matha - Visakhapatnam Branch,4.4,448.0,P8H3+RFV,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shri%20Kanchi%20Kaamakoti%20Shankara%20Matha%20-%20Visakhapatnam%20Branch&query_place_id=ChIJo3LY1yRDOToR4DtjQqb8DrI,Hindu temple,06:00 AM,08:00 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:00 PM",Free,₹50 archana,Free entry; religious discourses held regularly,₹100 - ₹400 per person,Lord Shiva (Chandramouleeswara),Branch of the prestigious Kanchi Kamakoti Peetham; vedic learning centre and important religious institution,Traditional wear preferred,"Shankaracharya Jayanti, Navaratri",Available during special events,"Shankaracharya Jayanti, Maha Shivaratri, Navaratri",Available,Restricted inside,Medium; high during special events,"Siripuram area, RK Beach (3 km), Submarine Museum",https://www.google.com/maps/search/?api=1&query=Kanchi+Kaamakoti+Shankara+Matha+Visakhapatnam,Verified major temple details
Sri Sri Sri Vijaya Ganapathi Swamy Temple,4.5,42.0,P8M3+2H9,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Vijaya%20Ganapathi%20Swamy%20Temple&query_place_id=ChIJaywVVSVDOToRwdbM16XHAgk,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Ganesha (Vinayaka),Popular Ganesh temple; especially crowded on Vinayaka Chaturthi,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Vinayaka Chaturthi, early morning",Available,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Vijaya%20Ganapathi%20Swamy%20Temple%20Visakhapatnam,Timing needs local confirmation
Seethammapeta Venayaka Temple,4.9,15.0,,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Seethammapeta%20Venayaka%20Temple&query_place_id=ChIJf1Up9_BDOToRYu69zWpkKzw,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess (Ammavari Devi),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Seethammapeta%20Venayaka%20Temple%20Visakhapatnam,Timing needs local confirmation
Abhaya Anjaneya Swami Temple,4.7,38.0,P8H3+RR9,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Abhaya%20Anjaneya%20Swami%20Temple&query_place_id=ChIJU_uR2DpDOToRrlNPpUf6NxM,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Hanuman (Anjaneya Swamy),Popular Hanuman temple; heavy footfall on Tuesdays,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Saturdays, Hanuman Jayanti, early morning",Available,"Hanuman Jayanti, Rama Navami, Tuesdays",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Abhaya%20Anjaneya%20Swami%20Temple%20Visakhapatnam,Timing needs local confirmation
Sri Ramalingeshwara Swamy Temple,4.6,16.0,"P8M3+9J8, Sankara Matam Rd, Near Visaka Dairy",Visakhapatnam,Andhra Pradesh,IN,,+91 82475 37500,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Ramalingeshwara%20Swamy%20Temple&query_place_id=ChIJkQN94i9DOToRZdq1arHyts4,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Ramalingeshwara%20Swamy%20Temple%20Visakhapatnam,Timing needs local confirmation
