trip_id,source_area,hospital_name,hospital_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,emergency_fastest_option,description
1382,Pendurthi,Dr Agarwals Eye Hospital,Siripuram,16.5,39-59 min,Rs 241,Rs 330,Rs 264,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"Siripuram, Opposite Income Tax Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Dr Agarwals Eye Hospital in Siripuram, Visakhapatnam. Distance approx 16.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1383,Pendurthi,Hcg Cancer Hospital Bhimili Road,Bheemunipatnam,26.0,62-82 min,Rs 374,Rs 520,Rs 388,High,Rapido Bike or Auto (cost effective),72-87 min,57-82 min,"Bheemunipatnam Road, Near Tagurapuvalasa",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Hcg Cancer Hospital Bhimili Road in Bheemunipatnam, Visakhapatnam. Distance approx 26.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1384,Pendurthi,Smartvision Eye Hospitals,Dwaraka Nagar,15.9,38-58 min,Rs 232,Rs 318,Rs 256,High,Rapido Bike or Auto (cost effective),48-63 min,33-58 min,"Dwaraka Nagar, Near Visakha Steel",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Smartvision Eye Hospitals in Dwaraka Nagar, Visakhapatnam. Distance approx 15.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1385,Pendurthi,Aayushman Hospital,Kommadi,17.9,42-62 min,Rs 260,Rs 358,Rs 282,High,Rapido Bike or Auto (cost effective),52-67 min,37-62 min,"Kommadi Road, Near Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Aayushman Hospital in Kommadi, Visakhapatnam. Distance approx 17.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1386,Pendurthi,BHEL Hospital,Scindia,16.5,39-59 min,Rs 241,Rs 330,Rs 264,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"BHEL Township, Scindia",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to BHEL Hospital in Scindia, Visakhapatnam. Distance approx 16.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1387,Pendurthi,Goutami Hospital,Gajuwaka,16.6,39-59 min,Rs 242,Rs 332,Rs 265,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"Gajuwaka, Near Balaji Theatre",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Goutami Hospital in Gajuwaka, Visakhapatnam. Distance approx 16.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1388,Pendurthi,Padmasri Hospital,One Town,17.6,42-62 min,Rs 256,Rs 352,Rs 278,High,Rapido Bike or Auto (cost effective),52-67 min,37-62 min,"One Town, Near Jagadamba",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Padmasri Hospital in One Town, Visakhapatnam. Distance approx 17.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1389,Pendurthi,Sai Geetha Hospital,Steel Plant Area,14.6,35-55 min,Rs 214,Rs 292,Rs 239,High,Rapido Bike or Auto (cost effective),45-60 min,30-55 min,"Steel Plant Colony, Near HPCL Gate",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Sai Geetha Hospital in Steel Plant Area, Visakhapatnam. Distance approx 14.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1390,Pendurthi,Rama Nursing Home,Gopalapatnam,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Gopalapatnam, Near Hindu Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Rama Nursing Home in Gopalapatnam, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1391,Pendurthi,Waltair Multicare Hospital,Waltair,17.4,41-61 min,Rs 253,Rs 348,Rs 276,High,Rapido Bike or Auto (cost effective),51-66 min,36-61 min,"Waltair, Near RBI Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Waltair Multicare Hospital in Waltair, Visakhapatnam. Distance approx 17.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1392,Pendurthi,Medicover Cancer Hospital,Waltair Main Road,17.3,41-61 min,Rs 252,Rs 346,Rs 274,High,Rapido Bike or Auto (cost effective),51-66 min,36-61 min,"Waltair Main Road, Near Old Govt Hospital",Rapido Bike or Cab (quickest door-to-door),"Travel from Pendurthi to Medicover Cancer Hospital in Waltair Main Road, Visakhapatnam. Distance approx 17.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1393,Gopalapatnam,Medicover Hospitals Vizag,Waltair Main Road,5.8,13-21 min,Rs 91,Rs 116,Rs 125,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"Near Waltair Main Road, Opposite YMCA",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Medicover Hospitals Vizag in Waltair Main Road, Visakhapatnam. Distance approx 5.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1394,Gopalapatnam,Apollo Hospitals Visakhapatnam,Waltair,5.7,13-21 min,Rs 89,Rs 114,Rs 124,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"Waltair Uplands, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Apollo Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 5.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1395,Gopalapatnam,KIMS Hospitals Seethammadhara,Seethammadhara,4.7,11-19 min,Rs 75,Rs 94,Rs 111,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,"Near Seethammadhara Junction, Opp Aditya Park",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to KIMS Hospitals Seethammadhara in Seethammadhara, Visakhapatnam. Distance approx 4.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1396,Gopalapatnam,Mahatma Gandhi Cancer Hospital,Maharani Peta,6.6,15-23 min,Rs 102,Rs 132,Rs 135,Moderate,Rapido Bike (good balance of speed and cost),25-40 min,10-23 min,"Near RTC Complex, Maharani Peta",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Mahatma Gandhi Cancer Hospital in Maharani Peta, Visakhapatnam. Distance approx 6.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1397,Gopalapatnam,King George Hospital,One Town,7.2,17-25 min,Rs 110,Rs 144,Rs 143,Moderate,Rapido Bike (good balance of speed and cost),27-42 min,12-25 min,"Near Jagadamba Centre, One Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to King George Hospital in One Town, Visakhapatnam. Distance approx 7.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1398,Gopalapatnam,MGM SevenHills Hospital,Rockdale Layout,6.0,14-22 min,Rs 94,Rs 120,Rs 128,Moderate,Rapido Bike (good balance of speed and cost),24-39 min,9-22 min,"Near Rushikonda, Beach Road Side",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to MGM SevenHills Hospital in Rockdale Layout, Visakhapatnam. Distance approx 6.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1399,Gopalapatnam,Queen's NRI Hospital,Seethammadhara,5.0,12-20 min,Rs 80,Rs 100,Rs 115,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Near Seethammadhara Jn, Opp Big Bazaar",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Queen's NRI Hospital in Seethammadhara, Visakhapatnam. Distance approx 5.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1400,Gopalapatnam,Omni Hospitals Visakhapatnam,Waltair,5.7,13-21 min,Rs 89,Rs 114,Rs 124,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"Waltair Main Road, Near Andhra University Gate",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Omni Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 5.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1401,Gopalapatnam,Sunrise Hospitals,NAD Junction,2.1,7-12 min,Rs 39,Rs 42,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"NAD Junction, Near Steel Plant Road",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Sunrise Hospitals in NAD Junction, Visakhapatnam. Distance approx 2.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1402,Gopalapatnam,CARE Hospitals Visakhapatnam,Arilova,0.5,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Arilova Main Road, Near Visakha Steel Plant",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to CARE Hospitals Visakhapatnam in Arilova, Visakhapatnam. Distance approx 0.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1403,Gopalapatnam,Lotus Hospitals Women & Children,Siripuram,5.1,12-20 min,Rs 81,Rs 102,Rs 116,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Siripuram Junction, Near CBM Compound",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Lotus Hospitals Women & Children in Siripuram, Visakhapatnam. Distance approx 5.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1404,Gopalapatnam,Giggles by Omni Hospitals,Siripuram,5.1,12-20 min,Rs 81,Rs 102,Rs 116,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,Near Siripuram Flyover,Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Giggles by Omni Hospitals in Siripuram, Visakhapatnam. Distance approx 5.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1405,Gopalapatnam,Rise Hospital,Gajuwaka,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Gajuwaka Junction, Near RTO Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Rise Hospital in Gajuwaka, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1406,Gopalapatnam,Tirumala Vijaya Hospital,MVP Colony,4.8,11-19 min,Rs 77,Rs 96,Rs 112,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,"MVP Colony Sector 7, Near Big Bazaar MVP",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Tirumala Vijaya Hospital in MVP Colony, Visakhapatnam. Distance approx 4.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1407,Gopalapatnam,Vedanta Women & Children Hospital,Dwaraka Nagar,4.3,10-18 min,Rs 70,Rs 86,Rs 105,Moderate,Rapido Bike (good balance of speed and cost),20-35 min,5-18 min,"Dwaraka Nagar 5th Division, Near CB Rao School",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Vedanta Women & Children Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 4.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1408,Gopalapatnam,Maxivision Eye Hospitals,Siripuram,5.1,12-20 min,Rs 81,Rs 102,Rs 116,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Siripuram, Near Andhra Bank Main Branch",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Maxivision Eye Hospitals in Siripuram, Visakhapatnam. Distance approx 5.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1409,Gopalapatnam,Sankar Foundation Eye Hospital,Peda Waltair,6.0,14-22 min,Rs 94,Rs 120,Rs 128,Moderate,Rapido Bike (good balance of speed and cost),24-39 min,9-22 min,"Peda Waltair, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Sankar Foundation Eye Hospital in Peda Waltair, Visakhapatnam. Distance approx 6.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1410,Gopalapatnam,Motherly Women & Children Hospital,Kommadi,8.6,20-32 min,Rs 130,Rs 172,Rs 161,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Kommadi Road, Near Madhurawada",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Motherly Women & Children Hospital in Kommadi, Visakhapatnam. Distance approx 8.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1411,Gopalapatnam,Satyadev Multispeciality Hospital,Madhurawada,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"Madhurawada Main Road, Near Kommadi Junction",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Satyadev Multispeciality Hospital in Madhurawada, Visakhapatnam. Distance approx 9.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1412,Gopalapatnam,Shiva Shakthi Hospital Madhurawada,Madhurawada,8.8,21-33 min,Rs 133,Rs 176,Rs 164,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Madhurawada, Near Infosys Campus",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Shiva Shakthi Hospital Madhurawada in Madhurawada, Visakhapatnam. Distance approx 8.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1413,Gopalapatnam,Sunrise Women & Children Madhurawada,Madhurawada,8.7,20-32 min,Rs 131,Rs 174,Rs 163,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Madhurawada Main Road, Near Apollo Pharmacy",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Sunrise Women & Children Madhurawada in Madhurawada, Visakhapatnam. Distance approx 8.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1414,Gopalapatnam,Usha Prime Multispeciality Hospital,Madhavadhara,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Madhavadhara Road, Near Auto Nagar",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Usha Prime Multispeciality Hospital in Madhavadhara, Visakhapatnam. Distance approx 2.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1415,Gopalapatnam,Asian Institute Nephrology Urology,Siripuram,5.2,12-20 min,Rs 82,Rs 104,Rs 117,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Siripuram, Opposite Kalyan Jewellers",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Asian Institute Nephrology Urology in Siripuram, Visakhapatnam. Distance approx 5.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1416,Gopalapatnam,GITAM Hospital,Rushikonda,8.2,19-27 min,Rs 124,Rs 164,Rs 156,Moderate,Rapido Bike or Auto (cost effective),29-44 min,14-27 min,"GITAM Campus, Rushikonda",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to GITAM Hospital in Rushikonda, Visakhapatnam. Distance approx 8.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1417,Gopalapatnam,Anil Neerukonda Hospital,Bheemunipatnam,21.6,51-71 min,Rs 312,Rs 432,Rs 330,High,Rapido Bike or Auto (cost effective),61-76 min,46-71 min,"Tagurapuvalasa, Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Anil Neerukonda Hospital in Bheemunipatnam, Visakhapatnam. Distance approx 21.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1418,Gopalapatnam,NRI Institute of Medical Sciences,Bheemunipatnam,21.6,51-71 min,Rs 312,Rs 432,Rs 330,High,Rapido Bike or Auto (cost effective),61-76 min,46-71 min,"Sangivalasa, Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to NRI Institute of Medical Sciences in Bheemunipatnam, Visakhapatnam. Distance approx 21.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1419,Gopalapatnam,HCG Cancer Hospital Visakhapatnam,Dwaraka Nagar,4.4,10-18 min,Rs 71,Rs 88,Rs 107,Moderate,Rapido Bike (good balance of speed and cost),20-35 min,5-18 min,"Chinnagadili, Dwaraka Nagar",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to HCG Cancer Hospital Visakhapatnam in Dwaraka Nagar, Visakhapatnam. Distance approx 4.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1420,Gopalapatnam,Homi Bhabha Cancer Hospital,Aganampudi,5.4,12-20 min,Rs 85,Rs 108,Rs 120,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Near Aganampudi, Steel Plant Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Homi Bhabha Cancer Hospital in Aganampudi, Visakhapatnam. Distance approx 5.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1421,Gopalapatnam,Behara Hospital,Siripuram,4.9,11-19 min,Rs 78,Rs 98,Rs 113,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,"Siripuram, Near Income Tax Office",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Behara Hospital in Siripuram, Visakhapatnam. Distance approx 4.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1422,Gopalapatnam,Andhra Hospitals Visakhapatnam,Dwaraka Nagar,4.3,10-18 min,Rs 70,Rs 86,Rs 105,Moderate,Rapido Bike (good balance of speed and cost),20-35 min,5-18 min,Dwaraka Nagar 1st Lane,Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Andhra Hospitals Visakhapatnam in Dwaraka Nagar, Visakhapatnam. Distance approx 4.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1423,Gopalapatnam,Medicover Women & Child Hospital,MVP Colony,4.7,11-19 min,Rs 75,Rs 94,Rs 111,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,"MVP Colony, Near Sector 5",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Medicover Women & Child Hospital in MVP Colony, Visakhapatnam. Distance approx 4.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1424,Gopalapatnam,Omega Cancer Hospital,Waltair Main Road,5.8,13-21 min,Rs 91,Rs 116,Rs 125,Moderate,Rapido Bike (good balance of speed and cost),23-38 min,8-21 min,"Near Waltair Main Road, Opp YMCA",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Omega Cancer Hospital in Waltair Main Road, Visakhapatnam. Distance approx 5.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1425,Gopalapatnam,RK Hospital Gajuwaka,Gajuwaka,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Gajuwaka BC Road, Near Post Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to RK Hospital Gajuwaka in Gajuwaka, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1426,Gopalapatnam,Kala Hospital Vizag,Madhavadhara,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,47-1-104 Dwaraka Nagar Area,Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Kala Hospital Vizag in Madhavadhara, Visakhapatnam. Distance approx 2.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1427,Gopalapatnam,NAD Hospital Gopalapatnam,NAD Junction,2.1,7-12 min,Rs 39,Rs 42,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"NAD Junction, Gopalapatnam Road",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to NAD Hospital Gopalapatnam in NAD Junction, Visakhapatnam. Distance approx 2.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1428,Gopalapatnam,Pavan Sai Hospital,PM Palem,10.5,25-37 min,Rs 157,Rs 210,Rs 186,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,"PM Palem, Near Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Pavan Sai Hospital in PM Palem, Visakhapatnam. Distance approx 10.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1429,Gopalapatnam,Keerthana Hospital,Gopalapatnam,0.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gopalapatnam Main Road, Near BSNL",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Keerthana Hospital in Gopalapatnam, Visakhapatnam. Distance approx 0.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1430,Gopalapatnam,Tirumala Jyoti Hospital,Pendurthi,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Pendurthi Main Road, Near Bus Stand",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Tirumala Jyoti Hospital in Pendurthi, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1431,Gopalapatnam,Lakshmi Hospital Pendurthi,Pendurthi,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Pendurthi, Near Police Station",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Lakshmi Hospital Pendurthi in Pendurthi, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1432,Gopalapatnam,Govt ENT Hospital Vizag,One Town,7.1,17-25 min,Rs 109,Rs 142,Rs 142,Moderate,Rapido Bike (good balance of speed and cost),27-42 min,12-25 min,"Near King George Hospital, One Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Govt ENT Hospital Vizag in One Town, Visakhapatnam. Distance approx 7.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1433,Gopalapatnam,Visakha Eye Hospital,Peda Waltair,5.9,14-22 min,Rs 92,Rs 118,Rs 126,Moderate,Rapido Bike (good balance of speed and cost),24-39 min,9-22 min,"Waltair Main Road, Peda Waltair",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Visakha Eye Hospital in Peda Waltair, Visakhapatnam. Distance approx 5.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1434,Gopalapatnam,Dr Benerje's Medikon Hospital,MVP Colony,4.8,11-19 min,Rs 77,Rs 96,Rs 112,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,MVP Colony Sector 7,Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Dr Benerje's Medikon Hospital in MVP Colony, Visakhapatnam. Distance approx 4.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1435,Gopalapatnam,ECHS Polyclinic Visakhapatnam,Mulagada,3.3,7-12 min,Rs 56,Rs 66,Rs 92,Low,Rapido Bike (good balance of speed and cost),17-32 min,5-12 min,"Mulagada, Near Steel Plant Area",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to ECHS Polyclinic Visakhapatnam in Mulagada, Visakhapatnam. Distance approx 3.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1436,Gopalapatnam,Sanjivani Hospital,NAD Junction,2.1,7-12 min,Rs 39,Rs 42,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"NAD Junction, Near Gopalapatnam",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Sanjivani Hospital in NAD Junction, Visakhapatnam. Distance approx 2.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1437,Gopalapatnam,GJ Hospitals & Trauma Centre,Maddilapalem,4.5,10-18 min,Rs 73,Rs 90,Rs 108,Moderate,Rapido Bike (good balance of speed and cost),20-35 min,5-18 min,"Maddilapalem, Near Railway Quarters",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to GJ Hospitals & Trauma Centre in Maddilapalem, Visakhapatnam. Distance approx 4.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1438,Gopalapatnam,A Plus Hospitals,MVP Colony,4.7,11-19 min,Rs 75,Rs 94,Rs 111,Moderate,Rapido Bike (good balance of speed and cost),21-36 min,6-19 min,"MVP Colony, Near Sector 9 Junction",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to A Plus Hospitals in MVP Colony, Visakhapatnam. Distance approx 4.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1439,Gopalapatnam,Amma Hospital,Srinagar,5.3,12-20 min,Rs 84,Rs 106,Rs 118,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,Near RTC Complex Area,Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Amma Hospital in Srinagar, Visakhapatnam. Distance approx 5.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1440,Gopalapatnam,Sri Vivekananda Hospital,Kurmannapalem,2.3,7-12 min,Rs 42,Rs 46,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Kurmannapalem, Near Auto Nagar",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Sri Vivekananda Hospital in Kurmannapalem, Visakhapatnam. Distance approx 2.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1441,Gopalapatnam,Apoorva Hospital,Dwaraka Nagar,4.3,10-18 min,Rs 70,Rs 86,Rs 105,Moderate,Rapido Bike (good balance of speed and cost),20-35 min,5-18 min,Dwaraka Nagar 3rd Division,Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Apoorva Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 4.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1442,Gopalapatnam,Simhagiri Hospital,Pendurthi,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Pendurthi, Near Gopalapatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Simhagiri Hospital in Pendurthi, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1443,Gopalapatnam,Ariya Hospital,Gopalapatnam,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gopalapatnam Circle, Near Fish Market",Rapido Bike (fastest in traffic),"Travel from Gopalapatnam to Ariya Hospital in Gopalapatnam, Visakhapatnam. Distance approx 0.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
1444,Gopalapatnam,Mother & Child Hospital,Kommadi,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Kommadi Junction, Madhurawada Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gopalapatnam to Mother & Child Hospital in Kommadi, Visakhapatnam. Distance approx 8.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
